gig_id,pay,shift_hour,worker_rating,prev_no_shows,commute_km,day_of_week,facilities_provided,no_show
N001,300,9,4.5,0,2.1,1,1,0
N002,200,11,4.0,1,5.2,2,0,1
N003,400,18,4.8,0,1.5,6,1,0
N004,180,7,3.6,2,6.8,3,0,1
N005,350,14,4.2,0,3.0,4,1,0
N006,280,19,4.1,1,4.5,5,0,0
N007,220,8,3.9,3,7.0,1,0,1
N008,330,17,4.7,0,2.0,6,1,0
N009,260,10,4.0,2,5.5,2,0,1
N010,310,13,4.3,0,3.2,4,1,0
N011,240,9,3.8,1,4.8,1,0,1
N012,290,20,4.6,0,1.8,6,1,0
N013,270,12,4.2,0,3.9,3,1,0
N014,230,6,3.7,2,6.1,2,0,1
N015,360,15,4.9,0,2.5,5,1,0
N016,210,7,3.5,4,8.0,1,0,1
N017,340,16,4.4,0,3.0,4,1,0
N018,255,11,4.1,1,4.2,2,0,1
N019,300,18,4.5,0,2.2,6,1,0
N020,205,6,3.6,2,6.5,1,0,1
